age,workclass,fnlwgt,educationNum,maritalStatus,race,sex,captialGain,capitalLoss,hoursPerWeek,incomeCategory
35,2,193815,12,1,0,0,0,0,40,1
41,5,34987,10,1,0,0,0,0,54,1
26,2,59306,13,0,0,0,0,0,40,0
34,2,142897,14,1,2,0,7298,0,35,1
36,1,205607,13,2,1,1,0,0,40,1
22,2,199698,10,0,0,0,0,0,15,0
24,2,191954,10,0,0,0,0,0,40,0
77,1,138714,10,1,0,0,0,0,40,0
22,2,399087,3,1,0,1,0,0,40,0
29,2,423158,10,0,0,1,0,0,40,0
62,2,159841,9,7,0,1,0,0,24,0
39,1,174308,9,1,0,0,0,0,40,0
43,2,50356,10,1,0,0,0,1485,50,0
35,2,186110,9,2,0,0,0,0,45,0
29,2,200381,7,0,0,1,0,0,40,0
76,1,174309,14,1,0,0,0,0,10,0
63,1,78383,9,1,0,0,0,0,45,0
43,2,187728,10,1,0,1,0,1887,50,1
58,1,321171,9,1,0,0,0,0,40,0
66,2,127921,9,0,0,0,2050,0,55,0
41,2,206565,10,0,1,0,0,0,45,0
26,2,224563,13,0,0,0,0,0,40,0
47,2,178686,11,0,0,0,0,0,40,0
55,3,98545,6,1,0,0,0,0,40,0
53,2,242606,9,1,0,0,0,0,40,0
17,2,270942,3,0,0,0,0,0,48,0
30,2,94235,9,0,0,0,0,0,40,0
49,2,71195,14,0,0,0,0,0,60,0
19,2,104112,9,0,1,0,0,0,30,0
45,2,261192,9,1,1,0,0,0,40,0
26,2,94936,12,0,0,0,0,0,40,0
38,2,296478,11,1,0,0,7298,0,40,1
36,0,119272,9,1,0,0,7298,0,40,1
33,2,85043,9,0,0,0,0,0,20,0
22,0,293364,10,0,1,1,0,0,40,0
43,1,241895,13,0,0,0,0,0,42,0
56,2,101128,12,4,0,0,0,0,25,0
31,2,156464,13,0,0,0,0,0,25,0
33,2,117963,13,1,0,0,0,0,40,1
26,2,192262,9,1,0,0,0,0,40,0
33,2,111363,13,1,0,0,0,0,40,1
46,3,329752,7,1,0,0,0,0,30,0
38,4,95432,9,1,0,0,0,0,40,1
65,2,161400,7,7,4,0,0,0,40,0
40,2,96129,11,1,0,0,0,0,40,1
42,2,111949,9,1,0,1,0,0,35,0
26,1,117125,5,1,0,0,0,0,40,0
36,2,348022,6,1,0,1,0,0,24,0
62,2,270092,14,1,0,0,0,0,40,1
43,2,180609,13,1,0,0,0,0,45,0
43,2,174575,13,2,0,0,0,1564,45,1
22,2,410439,9,4,0,0,0,0,55,0
28,2,92262,9,1,0,0,0,0,40,0
56,1,183081,10,1,0,0,0,0,45,0
22,2,362589,12,0,0,1,0,0,15,0
57,2,212448,13,2,0,1,0,0,45,1
39,2,481060,9,2,0,1,0,0,40,0
26,4,185885,10,0,0,1,0,0,15,0
17,2,89821,7,0,0,0,0,0,10,0
40,0,184018,11,1,0,0,0,0,38,1
45,2,256649,9,1,1,0,0,0,40,0
44,2,160323,9,0,1,0,0,0,40,0
20,3,350845,10,0,0,1,0,0,10,0
33,2,267404,9,1,0,1,0,0,40,0
23,2,35633,10,0,0,0,0,0,40,0
46,1,80914,14,2,0,0,0,0,30,0
38,2,172927,9,1,0,0,0,0,50,0
54,2,174319,9,2,0,0,0,0,40,0
46,2,214955,3,2,0,1,0,2339,45,0
25,2,344991,10,1,0,0,0,0,40,0
46,2,108699,10,2,0,1,0,0,40,0
36,3,117312,10,1,0,1,0,0,40,0
23,2,396099,9,0,0,1,0,0,25,0
29,2,134152,9,5,0,0,0,0,40,0
44,2,162028,10,1,0,1,0,2415,6,1
19,2,25429,10,0,0,1,0,0,16,0
19,2,232392,9,0,0,1,0,0,40,0
35,2,220098,9,1,0,1,0,0,40,1
27,2,301302,13,0,0,0,0,0,50,0
46,1,277946,12,5,0,0,0,0,40,0
34,2,196164,9,0,0,1,0,0,35,0
44,2,115562,10,1,0,0,0,0,40,0
45,2,96975,10,2,0,1,0,0,40,0
25,2,86872,13,1,0,0,0,0,55,1
52,5,132178,13,1,0,0,0,0,50,1
20,2,416103,10,0,0,0,0,0,40,0
28,2,108574,10,0,0,1,0,0,40,0
50,0,288353,13,1,0,0,0,0,40,1
34,2,227689,11,2,0,1,0,0,64,0
28,2,166481,4,1,4,0,0,2179,40,0
41,2,445382,14,1,0,0,0,1977,65,1
28,2,110145,9,1,0,0,0,0,40,0
46,1,317253,9,1,0,0,0,0,25,0
32,2,364657,10,1,0,0,0,0,50,0
41,3,42346,10,2,1,1,0,0,24,0
24,2,241951,9,0,1,1,0,0,40,0
33,2,118500,10,2,0,1,0,0,40,0
46,2,188386,16,1,0,0,15024,0,60,1
31,0,1033222,10,1,0,0,0,0,40,0
35,2,92440,8,2,0,0,0,0,50,1
52,2,190762,2,1,0,0,0,0,40,0
30,2,426017,7,0,0,1,0,0,19,0
34,3,243867,7,5,1,0,0,0,40,0
34,0,240283,9,2,0,1,0,0,40,0
20,2,61777,10,1,0,0,0,0,30,0
17,2,175024,7,0,0,0,2176,0,18,0
32,0,92003,13,1,0,1,0,0,40,1
29,2,188401,9,2,0,0,0,0,40,0
33,2,228528,6,0,0,1,0,0,35,0
25,2,133373,9,1,0,0,0,0,60,0
36,4,255191,14,0,0,0,0,1408,40,0
23,2,204653,9,0,0,0,0,0,72,0
63,5,222289,9,1,0,0,0,0,40,1
47,3,287480,14,1,0,0,0,0,40,0
40,1,204116,13,4,0,1,2174,0,40,0
30,2,29662,12,1,0,1,0,0,25,1
27,2,116358,10,0,2,0,0,1980,40,0
33,2,208405,14,1,0,0,0,0,50,1
34,3,284843,9,0,1,0,594,0,60,0
34,3,117018,10,0,0,1,0,0,40,0
23,2,81281,10,1,0,0,0,0,40,0
42,3,340148,10,1,0,1,0,0,40,0
29,2,363425,13,0,0,0,0,0,40,0
45,2,45857,9,2,0,1,0,0,28,0
24,4,191073,9,0,0,0,0,0,40,0
44,2,116632,10,1,0,0,0,0,40,1
27,2,405855,5,0,0,0,0,0,40,0
20,2,298227,10,0,0,0,0,0,35,0
44,2,290521,9,7,1,1,0,0,40,0
51,2,56915,9,1,3,0,0,0,40,0
20,2,146538,9,1,0,0,0,0,40,0
19,2,206399,9,0,1,1,0,0,40,0
45,5,197332,10,1,0,0,0,0,55,1
60,2,245062,9,1,0,0,0,0,40,1
44,1,234885,9,1,0,1,0,0,40,1
40,2,72887,11,1,2,0,0,0,40,1
30,2,180374,9,1,0,1,0,0,40,0
38,2,351299,10,1,1,0,0,0,50,0
23,2,54012,9,1,0,0,0,0,60,0
44,2,116632,12,0,0,0,0,0,40,0
54,3,288825,9,1,1,0,0,0,40,0
32,2,132601,13,1,0,0,0,0,50,0
50,2,193374,2,4,0,0,0,0,40,0
24,2,170070,13,0,0,1,0,0,20,0
37,2,126708,9,1,0,1,0,0,60,0
52,2,35598,9,2,0,0,0,0,40,0
38,2,33983,10,1,0,0,0,0,40,0
49,2,192776,14,1,0,0,0,1977,45,1
30,2,118551,13,1,0,1,0,0,16,1
60,2,201965,10,0,0,0,0,0,40,1
35,2,285020,9,0,0,0,0,0,40,0
30,2,303990,9,0,0,0,0,0,60,0
67,2,49401,11,2,0,1,0,0,24,0
46,2,279196,13,0,0,1,0,0,40,0
17,2,211870,5,0,0,0,0,0,6,0
22,2,281432,10,0,0,0,0,0,30,0
27,2,161155,6,0,0,0,0,0,40,0
23,2,197904,9,0,0,1,0,0,35,0
33,2,111746,12,1,0,0,0,0,45,0
43,1,170721,10,1,0,0,0,0,20,0
28,0,70100,13,0,0,0,0,0,20,0
41,2,193626,9,4,0,1,0,0,40,0
25,2,189775,10,4,1,1,0,0,20,0
59,3,286967,9,1,0,0,0,0,45,0
45,3,164427,13,2,0,1,0,0,40,0
38,2,91039,13,1,0,0,15024,0,60,1
40,2,347934,9,0,0,1,0,0,35,0
46,4,371373,9,2,0,0,0,0,40,0
35,2,32220,12,0,0,1,0,0,60,0
34,2,187251,9,2,0,1,0,0,25,0
33,2,178107,13,0,0,0,0,0,20,0
41,2,343121,9,2,0,1,0,0,36,0
20,2,262749,10,0,0,0,0,0,40,0
23,2,403107,3,0,0,0,0,0,40,0
26,2,64293,10,0,0,1,0,0,35,0
23,3,324960,9,0,0,0,0,0,40,0
62,3,114060,9,1,0,0,0,0,40,0
52,2,48925,10,1,0,0,0,0,40,0
58,2,180980,10,2,0,1,0,0,42,0
25,2,181054,13,0,0,1,0,0,40,0
24,2,388093,13,0,1,0,0,0,40,0
19,2,249609,10,0,0,0,0,0,8,0
43,2,112131,10,1,0,0,0,0,40,0
47,3,543162,9,5,1,1,0,0,40,0
39,2,91996,9,2,0,1,0,0,40,0
49,2,141944,11,4,0,0,0,1380,42,0
32,2,37070,11,0,0,0,0,0,45,0
34,2,337587,10,1,0,0,0,0,50,1
28,2,189346,9,2,0,0,0,0,45,0
25,2,267044,10,0,3,1,0,0,20,0
34,2,108116,13,1,0,0,0,0,50,1
38,5,99146,13,1,0,0,15024,0,80,1
50,2,196232,9,1,0,0,7688,0,50,1
24,3,248344,10,2,1,0,0,0,50,0
37,3,186035,10,1,0,0,0,0,45,1
44,2,177905,10,2,0,0,0,0,58,1
28,2,85812,10,1,0,1,0,0,40,0
42,2,221172,13,1,0,0,0,0,40,1
74,2,99183,10,2,0,1,0,0,9,0
38,1,190387,9,1,0,0,0,0,50,0
44,1,202692,14,1,0,0,0,0,40,0
44,2,109339,7,2,4,1,0,0,46,0
26,2,108658,9,0,0,0,0,0,40,0
36,2,197202,9,1,1,0,0,0,40,0
41,2,101739,12,1,0,1,0,0,50,1
67,2,231559,15,1,0,0,20051,0,48,1
39,3,207853,8,1,0,0,0,0,50,0
57,2,190942,2,7,1,1,0,0,30,0
29,2,102345,11,5,0,0,0,0,40,0
31,5,41493,13,0,0,1,0,0,45,0
44,2,210525,10,1,0,0,0,0,40,0
29,2,133937,16,0,0,0,0,0,40,0
30,2,237903,10,0,0,1,0,0,40,0
27,2,163862,9,0,0,0,0,0,40,0
27,2,201872,10,1,0,0,0,0,50,0
32,2,84179,9,0,0,1,0,0,45,0
58,2,51662,6,1,0,1,0,0,8,0
35,3,233327,10,1,0,0,0,0,40,0
21,2,259510,9,0,0,0,0,0,36,0
28,2,184831,10,0,0,0,0,0,40,0
46,1,245724,10,2,0,0,0,0,50,0
36,1,27053,9,5,0,1,0,0,40,0
72,2,205343,7,7,0,1,0,0,40,0
35,2,229328,9,1,1,1,0,0,40,0
33,4,319560,11,2,1,1,0,0,40,1
69,2,136218,7,0,0,1,0,0,40,0
35,2,54576,9,1,0,0,0,0,40,0
34,2,148291,9,1,0,1,0,0,32,0
30,2,152453,7,1,0,0,0,0,40,0
28,2,114053,13,0,0,0,0,0,55,0
54,2,212960,13,1,0,0,0,0,35,1
47,2,264052,10,1,0,0,0,0,50,1
24,2,82804,9,0,1,1,0,0,40,0
52,1,334273,13,1,0,0,0,0,60,1
20,2,27337,9,0,3,0,0,0,48,0
43,5,188436,14,1,0,0,5013,0,45,0
45,2,433665,4,5,0,1,0,0,40,0
29,1,110663,9,5,0,0,0,0,35,0
47,2,87490,14,2,0,0,0,0,42,0
24,2,354351,9,0,0,0,0,0,40,0
51,2,95469,9,1,0,0,0,0,40,0
17,2,242718,7,0,0,0,0,0,12,0
37,2,22463,11,1,0,0,0,1977,40,1
27,2,158156,16,0,0,1,0,0,70,0
29,2,350162,13,1,0,0,0,0,40,1
36,1,28738,12,2,0,1,0,0,35,0
58,3,283635,13,0,0,1,0,0,40,0
26,1,86646,10,1,0,0,0,0,45,0
57,2,69884,9,1,0,0,0,0,40,1
59,2,199713,9,1,0,0,0,0,40,0
27,2,181659,9,1,0,0,0,0,40,0
31,1,340939,13,0,0,0,0,0,40,0
21,2,197747,10,0,0,1,0,0,24,0
29,2,34292,10,0,0,0,0,0,60,0
18,2,156764,7,0,0,0,0,0,40,0
52,2,25826,6,1,0,0,0,1887,47,1
57,5,103948,13,2,0,0,0,0,80,0
60,2,39352,4,0,0,0,0,0,48,1
31,2,168387,13,1,0,0,7688,0,40,1
23,2,117789,13,0,0,1,0,0,40,0
27,2,267147,9,0,0,0,0,0,40,0
42,1,214242,15,1,0,0,0,1902,50,1
25,2,200408,10,0,0,0,2174,0,40,0
49,2,136455,13,0,0,1,0,0,45,0
32,2,239824,13,0,0,0,0,0,40,0
19,2,217039,10,0,0,0,0,0,28,0
60,2,51290,4,2,0,1,0,0,40,0
42,3,175674,5,1,0,0,0,0,40,0
35,1,194404,12,0,0,0,0,0,40,0
48,2,45612,9,0,1,1,0,0,37,0
51,2,410114,14,1,0,0,0,0,40,1
29,2,182521,9,0,3,0,0,0,40,0
36,3,339772,9,5,1,0,0,0,40,0
17,2,169658,6,0,0,1,0,0,21,0
52,2,200853,14,2,0,1,6849,0,60,0
24,2,247564,9,0,0,0,0,0,40,0
24,2,249909,9,1,0,0,0,0,50,0
26,3,208122,13,0,0,0,1055,0,40,0
27,2,109881,13,0,0,1,0,0,20,0
39,2,207824,9,0,0,0,0,0,60,0
30,2,369027,9,1,1,0,0,0,45,0
50,1,114117,9,1,0,0,0,0,32,0
52,5,51048,13,1,0,0,0,0,55,0
46,2,102388,15,1,0,0,15024,0,45,1
23,2,190483,13,0,0,1,0,0,20,0
45,2,462440,7,7,1,1,0,0,20,0
65,2,109351,5,7,1,1,0,0,24,0
29,2,34383,11,1,0,0,0,0,55,0
47,2,241832,5,4,0,0,0,0,40,0
30,2,124187,9,0,1,0,0,0,60,0
34,2,153614,9,1,0,0,0,0,45,1
38,1,267556,9,1,0,0,0,0,64,0
33,2,205469,10,1,0,0,0,0,40,1
49,2,268090,13,1,0,0,0,0,26,1
47,1,165039,10,0,1,1,0,0,40,0
49,3,120451,6,5,1,1,0,0,40,0
43,2,154374,10,1,0,0,15024,0,60,1
30,2,103649,13,1,1,1,0,0,40,1
58,1,35723,9,1,0,0,0,0,60,0
19,2,262601,9,0,0,1,0,0,14,0
21,2,226181,13,0,0,0,0,0,40,0
33,2,175697,13,1,0,0,15024,0,60,1
47,5,248145,3,1,0,0,0,0,50,0
52,1,289436,16,1,0,0,0,0,60,1
26,2,75654,9,2,0,0,0,0,55,0
60,2,199378,9,1,0,0,0,0,40,0
21,2,160968,10,0,0,0,0,0,40,0
36,2,188563,10,1,0,0,5178,0,50,1
31,2,55849,10,1,0,0,0,0,45,0
50,5,195322,16,5,0,0,0,0,40,1
31,3,402089,9,2,0,1,0,0,40,0
71,2,78277,9,1,0,0,0,0,15,0
30,0,169496,13,1,0,0,0,0,40,1
20,2,130959,10,0,0,0,0,0,20,0
